;netid  AAAA
;joinkey  00001234000000000000000000000000
124646, 802.15.4-DATA, 149735, 2016-04-26 18:50:26.139, 376079148.071, -31, 0x0000, 16, 26 41 88 06 AA AA FF FF 01 00 31 00 04 31 08 06 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 03 76 82 55 0E EB
124646, 802.15.4-DATA, 149736, 2016-04-26 18:50:26.262, 376079271.518, -64, 0x0000, 14, 21 41 88 8E 55 10 FF FF BE 63 09 10 FC FF BE 63 1E AD F6 BD DB 40 00 A2 13 00 01 00 ED 00 00 00 ED EC
124646, 802.15.4-DATA, 149737, 2016-04-26 18:50:26.320, 376079328.096, -54, 0x0000, 24, 4C 41 88 18 AA AA 12 00 11 00 2F 00 20 07 FF 01 1A F9 81 00 11 00 A8 92 F6 7B 5B E5 49 7A 75 D5 80 72 5F 38 66 CA A8 85 99 4C C4 14 EE C1 03 D1 D2 50 74 79 69 CE E4 68 FF A3 75 B7 FA 72 6C A6 C6 47 7E 07 97 01 60 4A 55 99 94 F7 EC
124646, 802.15.4-DATA, 149738, 2016-04-26 18:50:26.320, 376079331.735, -53, 0x0000, 24, 13 41 88 18 AA AA 11 00 12 00 28 00 00 02 0F 55 9A A7 F8 EB
124646, 802.15.4-DATA, 149739, 2016-04-26 18:50:26.340, 376079348.071, -56, 0x0000, 21, 4C 41 88 1A AA AA 01 00 12 00 2F 00 1F 07 FF 01 1A F9 81 00 11 00 A8 92 F6 7B 5B E5 49 7A 75 D5 80 72 5F 38 66 CA A8 85 99 4C C4 14 EE C1 03 D1 D2 50 74 79 69 CE E4 68 FF A3 75 B7 FA 72 6C A6 C6 47 7E 07 97 01 60 D0 35 69 08 F5 EA
124646, 802.15.4-DATA, 149740, 2016-04-26 18:50:26.340, 376079351.712, -89, 0x0001, 19, 13 41 88 1A 7A AA 12 00 01 00 28 00 00 1B 6A 34 AE E1 D4 3D
124646, 802.15.4-DATA, 149741, 2016-04-26 18:50:26.340, 376079351.712, -34, 0x0000, 21, 13 41 88 1A AA AA 12 00 01 00 28 00 00 1B 6A 34 AE E1 0B EB
124646, 802.15.4-DATA, 149742, 2016-04-26 18:50:26.388, 376079398.072, -31, 0x0000, 11, 26 41 88 1F AA AA FF FF 01 00 31 00 04 31 08 1F 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D B4 B8 67 FD 0E EB
124646, 802.15.4-DATA, 149743, 2016-04-26 18:50:26.578, 376079588.535, -64, 0x0000, 14, 21 41 88 8F 55 10 FF FF BE 63 09 10 FC FF BE 63 1E AD F6 BD DB 40 00 A2 13 00 01 00 ED 00 00 00 ED EC
124646, 802.15.4-DATA, 149744, 2016-04-26 18:50:26.707, 376079718.070, -31, 0x0000, 13, 26 41 88 3F AA AA FF FF 01 00 31 00 04 31 08 3F 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D EE DD 8D 10 0E EC
124646, 802.15.4-DATA, 149745, 2016-04-26 18:50:26.839, 376079849.324, -64, 0x0000, 14, 21 41 88 90 55 10 FF FF BE 63 09 10 FC FF BE 63 1E AD F6 BD DB 40 00 A2 13 00 01 00 ED 00 00 00 ED EB
124646, 802.15.4-DATA, 149746, 2016-04-26 18:50:27.067, 376080078.072, -32, 0x0000, 19, 26 41 88 63 AA AA FF FF 01 00 31 00 04 31 08 63 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 4E 65 1C CA 0D EC
124646, 802.15.4-DATA, 149747, 2016-04-26 18:50:27.089, 376080098.098, -57, 0x0000, 21, 4C 41 88 65 AA AA 01 00 12 00 2F 00 20 08 63 01 1C F9 81 00 12 00 79 1B 74 4C 05 E8 3E 30 B1 A6 EF BB E2 3C 89 C4 8D A1 0B A0 00 F4 F5 12 60 6C 4F 47 0D F1 E4 56 02 98 87 03 51 E6 C6 2C 2C 96 6C 88 4D B1 F7 9D 21 72 96 F6 BF F4 EA
